Time,realized-profits-to-value-rpv-ratio-btc-24h
2010-10-27 00:00:00+00:00,0.0159250122387192
2010-10-28 00:00:00+00:00,0.02604705790763206
2010-10-29 00:00:00+00:00,0.00480948661421823
2010-10-30 00:00:00+00:00,0.004763593978995308
2010-10-31 00:00:00+00:00,0.009230479502049043
2010-11-01 00:00:00+00:00,0.0015970612796446092
2010-11-02 00:00:00+00:00,0.006593536462268434
2010-11-03 00:00:00+00:00,0.004284264719563492
2010-11-04 00:00:00+00:00,0.032978260531566606
2010-11-05 00:00:00+00:00,0.004836069965054357
2010-11-06 00:00:00+00:00,0.013861554681017076
2010-11-07 00:00:00+00:00,0.014626396827269822
2010-11-08 00:00:00+00:00,0.08595019582174444
2010-11-09 00:00:00+00:00,0.004724411993667457
2010-11-10 00:00:00+00:00,0.0015694171607366924
2010-11-11 00:00:00+00:00,0.002044175097316774
2010-11-12 00:00:00+00:00,0.0010503892516753705
2010-11-13 00:00:00+00:00,0.004700776137630629
2010-11-14 00:00:00+00:00,0.0031368162820241624
2010-11-15 00:00:00+00:00,0.0024248363367387823
2010-11-16 00:00:00+00:00,0.002609901656308089
2010-11-17 00:00:00+00:00,0.002169921847356195
2010-11-18 00:00:00+00:00,0.0022801333370470024
2010-11-19 00:00:00+00:00,0.005170296506859173
2010-11-20 00:00:00+00:00,0.005282667573377831
2010-11-21 00:00:00+00:00,0.0015472964302300262
2010-11-22 00:00:00+00:00,0.0010118734762097849
2010-11-23 00:00:00+00:00,0.0016413481552134035
2010-11-24 00:00:00+00:00,0.0011816249679321965
2010-11-25 00:00:00+00:00,0.003899075132292459
2010-11-26 00:00:00+00:00,0.0015383965978542412
2010-11-27 00:00:00+00:00,0.0008233359985644372
2010-11-28 00:00:00+00:00,0.0006765265508568151
2010-11-29 00:00:00+00:00,0.0008200619391354705
2010-11-30 00:00:00+00:00,0.0014534175425266343
2010-12-01 00:00:00+00:00,0.0004484442162289576
2010-12-02 00:00:00+00:00,0.006501965628610847
2010-12-03 00:00:00+00:00,0.0009364275999619957
2010-12-04 00:00:00+00:00,0.0015432017690110687
2010-12-05 00:00:00+00:00,0.0017171406331286262
2010-12-06 00:00:00+00:00,0.010600277654543723
2010-12-07 00:00:00+00:00,0.003823557695454266
2010-12-08 00:00:00+00:00,0.0012523692148508905
2010-12-09 00:00:00+00:00,0.00085978743103069
2010-12-10 00:00:00+00:00,0.0008076149210829593
2010-12-11 00:00:00+00:00,0.0014356214223269059
2010-12-12 00:00:00+00:00,0.0005375280352468513
2010-12-13 00:00:00+00:00,0.0043733480512363546
2010-12-14 00:00:00+00:00,0.00034385795736971387
2010-12-15 00:00:00+00:00,0.004294989097659055
2010-12-16 00:00:00+00:00,0.001162621541232288
2010-12-17 00:00:00+00:00,0.0005645183004627193
2010-12-18 00:00:00+00:00,0.0017509654534568462
2010-12-19 00:00:00+00:00,0.0007353573515255502
2010-12-20 00:00:00+00:00,0.001113565144950605
2010-12-21 00:00:00+00:00,0.0012316371173543956
2010-12-22 00:00:00+00:00,0.000485001212387943
2010-12-23 00:00:00+00:00,0.0007311512359994745
2010-12-24 00:00:00+00:00,0.0001926986673455611
2010-12-25 00:00:00+00:00,0.0007819529158033677
2010-12-26 00:00:00+00:00,0.0007879219862977337
2010-12-27 00:00:00+00:00,0.0013663942013715283
2010-12-28 00:00:00+00:00,0.0013376444354580028
2010-12-29 00:00:00+00:00,0.010549807578437344
