Time,o.c,o.h,o.l,o.o
2010-09-27 00:00:00+00:00,0.0622,0.06227999999999999,0.061933333333333326,0.062
2010-09-28 00:00:00+00:00,0.061904999999999995,0.062354999999999994,0.06171,0.06196
2010-09-29 00:00:00+00:00,0.06183,0.062,0.06154,0.062
2010-09-30 00:00:00+00:00,0.0619,0.0619,0.06155,0.06174
2010-10-01 00:00:00+00:00,0.06197,0.062,0.06189,0.06189
2010-10-02 00:00:00+00:00,0.0614,0.06189,0.06129,0.06188
2010-10-03 00:00:00+00:00,0.06111000000000001,0.0614,0.06101,0.061398750000000016
2010-10-04 00:00:00+00:00,0.06129,0.06191,0.06084,0.06133250000000001
2010-10-05 00:00:00+00:00,0.0614,0.06292166666666668,0.06095,0.06132000000000001
2010-10-06 00:00:00+00:00,0.06297666666666668,0.06349066666666668,0.0615,0.0615
2010-10-07 00:00:00+00:00,0.067,0.067,0.06282,0.06304000000000001
2010-10-08 00:00:00+00:00,0.084925,0.08800000000000001,0.01,0.067
2010-10-09 00:00:00+00:00,0.0938,0.11,0.07002,0.0835
2010-10-10 00:00:00+00:00,0.0965,0.1301,0.08299999999999999,0.093
2010-10-11 00:00:00+00:00,0.095,0.1015,0.091,0.091
2010-10-12 00:00:00+00:00,0.0949,0.09795,0.083005,0.094
2010-10-13 00:00:00+00:00,0.105,0.105,0.092,0.092
2010-10-14 00:00:00+00:00,0.102,0.1045,0.08270857142857144,0.1045
2010-10-15 00:00:00+00:00,0.105,0.11699999999999999,0.092,0.1
2010-10-16 00:00:00+00:00,0.101,0.10299,0.1,0.1
2010-10-17 00:00:00+00:00,0.102,0.1045,0.10001,0.102
2010-10-18 00:00:00+00:00,0.1024,0.103,0.1,0.103
2010-10-19 00:00:00+00:00,0.09715,0.1018,0.09715,0.1
2010-10-20 00:00:00+00:00,0.099,0.1025,0.094,0.0985
2010-10-21 00:00:00+00:00,0.107,0.107,0.0971,0.0972
2010-10-22 00:00:00+00:00,0.106,0.109,0.1015,0.1015
2010-10-23 00:00:00+00:00,0.104995,0.109,0.104995,0.1085
2010-10-24 00:00:00+00:00,0.11501,0.19,0.108,0.108
2010-10-25 00:00:00+00:00,0.132,0.18666666666666668,0.09009,0.09839666666666667
2010-10-26 00:00:00+00:00,0.1503,0.179,0.133,0.133
2010-10-27 00:00:00+00:00,0.1877,0.19,0.151,0.151
2010-10-28 00:00:00+00:00,0.1731,0.191,0.1731,0.1845
2010-10-29 00:00:00+00:00,0.19,0.19,0.173,0.17993333333333336
2010-10-30 00:00:00+00:00,0.1989,0.1989,0.18755,0.18755
2010-10-31 00:00:00+00:00,0.1925,0.1989,0.189,0.194
2010-11-01 00:00:00+00:00,0.1955,0.1955,0.1735,0.1925
2010-11-02 00:00:00+00:00,0.1938,0.1938,0.1905,0.192
2010-11-03 00:00:00+00:00,0.1931,0.2369,0.125,0.193925
2010-11-04 00:00:00+00:00,0.23,0.23601,0.1934,0.1988
2010-11-05 00:00:00+00:00,0.2639,0.2639,0.2101,0.2101
2010-11-06 00:00:00+00:00,0.38,0.49,0.24031,0.262
2010-11-07 00:00:00+00:00,0.34,0.4399,0.3002,0.403995
2010-11-08 00:00:00+00:00,0.243,0.3681,0.2421333333333333,0.3459
2010-11-09 00:00:00+00:00,0.21,0.32299999999999995,0.2,0.251
2010-11-10 00:00:00+00:00,0.2362,0.2362,0.14,0.21
2010-11-11 00:00:00+00:00,0.2231,0.24,0.215,0.2299
2010-11-12 00:00:00+00:00,0.2682,0.28300000000000003,0.2232,0.2289
2010-11-13 00:00:00+00:00,0.276,0.2999366666666667,0.2683,0.287
2010-11-14 00:00:00+00:00,0.27904,0.299,0.2702,0.276
2010-11-15 00:00:00+00:00,0.2682,0.2828,0.2682,0.27904
2010-11-16 00:00:00+00:00,0.225,0.275,0.225,0.2683
2010-11-17 00:00:00+00:00,0.24736666666666665,0.28800000000000003,0.2116,0.223
2010-11-18 00:00:00+00:00,0.2678,0.281,0.2221,0.2221
2010-11-19 00:00:00+00:00,0.2752,0.28,0.2682,0.2683
2010-11-20 00:00:00+00:00,0.283955,0.29,0.26825,0.28
2010-11-21 00:00:00+00:00,0.27675,0.282,0.27631,0.27631
2010-11-22 00:00:00+00:00,0.2843,0.2843,0.269,0.27679000000000004
2010-11-23 00:00:00+00:00,0.28295,0.28449,0.2775,0.282
2010-11-24 00:00:00+00:00,0.28299,0.28299,0.2761,0.28295
2010-11-25 00:00:00+00:00,0.28,0.2825,0.278,0.2825
2010-11-26 00:00:00+00:00,0.2844,0.2864,0.27659500000000004,0.27849500000000005
2010-11-27 00:00:00+00:00,0.28300000000000003,0.2844,0.28255,0.2844
2010-11-28 00:00:00+00:00,0.2710819672131145,0.28461,0.2710819672131145,0.28300000000000003
2010-11-29 00:00:00+00:00,0.23305,0.279,0.22109,0.279
2010-11-30 00:00:00+00:00,0.2082,0.2299,0.205,0.2299
2010-12-01 00:00:00+00:00,0.2275,0.2279,0.2095,0.2095
2010-12-02 00:00:00+00:00,0.255,0.255,0.218,0.228
2010-12-03 00:00:00+00:00,0.25105,0.2552,0.243,0.25
2010-12-04 00:00:00+00:00,0.206,0.2588075,0.205,0.255
2010-12-05 00:00:00+00:00,0.195,0.234,0.19345,0.22
2010-12-06 00:00:00+00:00,0.204,0.225,0.185,0.225
2010-12-07 00:00:00+00:00,0.2366,0.245,0.1701,0.1938
2010-12-08 00:00:00+00:00,0.2388,0.24,0.22,0.24
2010-12-09 00:00:00+00:00,0.192105,0.23,0.1841,0.226
2010-12-10 00:00:00+00:00,0.20385,0.20385,0.18283333333333326,0.20133333333333334
2010-12-11 00:00:00+00:00,0.228,0.228,0.1907,0.204
2010-12-12 00:00:00+00:00,0.22,0.2279,0.20758666666666667,0.208
2010-12-13 00:00:00+00:00,0.2299,0.2299,0.2101,0.2101
2010-12-14 00:00:00+00:00,0.24669,0.24669,0.21,0.22890500000000003
2010-12-15 00:00:00+00:00,0.24,0.2459,0.238005,0.24545
2010-12-16 00:00:00+00:00,0.24996,0.255,0.22221,0.23801
2010-12-17 00:00:00+00:00,0.24,0.249,0.24,0.249
2010-12-18 00:00:00+00:00,0.241,0.24881,0.241,0.2487
2010-12-19 00:00:00+00:00,0.2401,0.2499,0.24,0.248
2010-12-20 00:00:00+00:00,0.267,0.27111,0.24,0.2401
2010-12-21 00:00:00+00:00,0.24,0.267,0.24,0.26
2010-12-22 00:00:00+00:00,0.25,0.25,0.244,0.244
2010-12-23 00:00:00+00:00,0.24875250000000002,0.25,0.243,0.247398
2010-12-24 00:00:00+00:00,0.248,0.25,0.2426,0.25
2010-12-25 00:00:00+00:00,0.2499,0.25,0.2475,0.2475
2010-12-26 00:00:00+00:00,0.265,0.265,0.24639,0.2499
2010-12-27 00:00:00+00:00,0.265,0.27,0.251,0.251
2010-12-28 00:00:00+00:00,0.281,0.281,0.2614833333333333,0.264
2010-12-29 00:00:00+00:00,0.2998,0.301,0.271,0.271
2010-12-30 00:00:00+00:00,0.3,0.3,0.29100000000000004,0.29100000000000004
2010-12-31 00:00:00+00:00,0.3,0.3,0.292,0.3
2011-01-01 00:00:00+00:00,0.3,0.3,0.292,0.292
2011-01-02 00:00:00+00:00,0.29997,0.29997,0.289,0.29459
2011-01-03 00:00:00+00:00,0.295,0.2999,0.29,0.29
2011-01-04 00:00:00+00:00,0.29895,0.29895,0.29,0.29601
2011-01-05 00:00:00+00:00,0.29892,0.299,0.29004,0.29004
2011-01-06 00:00:00+00:00,0.298,0.299,0.29,0.2989
2011-01-07 00:00:00+00:00,0.32,0.321,0.2977,0.2977
2011-01-08 00:00:00+00:00,0.3229,0.3229,0.3091,0.3091
2011-01-09 00:00:00+00:00,0.32299999999999995,0.32299999999999995,0.32291,0.32291
2011-01-10 00:00:00+00:00,0.32659,0.329,0.3175,0.322955
2011-01-11 00:00:00+00:00,0.32659,0.32659,0.31761,0.32659
2011-01-12 00:00:00+00:00,0.3188,0.3557,0.31799499999999997,0.3265
2011-01-13 00:00:00+00:00,0.3176,0.405,0.3176,0.31841200000000003
2011-01-14 00:00:00+00:00,0.4,0.40058,0.3176,0.3176
2011-01-15 00:00:00+00:00,0.386,0.4,0.385,0.4
2011-01-16 00:00:00+00:00,0.38679,0.4,0.38605,0.3997
2011-01-17 00:00:00+00:00,0.3495,0.38679,0.3163252941176471,0.38679
2011-01-18 00:00:00+00:00,0.31299,0.3495,0.3105033333333332,0.3495
2011-01-19 00:00:00+00:00,0.31299,0.31299,0.305,0.31299
2011-01-20 00:00:00+00:00,0.39,0.39,0.31,0.31299
2011-01-21 00:00:00+00:00,0.419905,0.4299,0.368,0.3899
2011-01-22 00:00:00+00:00,0.44399,0.444,0.3933333333333333,0.41
2011-01-23 00:00:00+00:00,0.4424,0.4443,0.4201,0.4443
2011-01-24 00:00:00+00:00,0.4199,0.4424,0.381,0.4424
2011-01-25 00:00:00+00:00,0.41,0.425,0.41,0.4223
2011-01-26 00:00:00+00:00,0.41367,0.42,0.4005,0.41123
2011-01-27 00:00:00+00:00,0.4212,0.445,0.40851,0.4092
2011-01-28 00:00:00+00:00,0.446,0.446,0.4212,0.4223
2011-01-29 00:00:00+00:00,0.439,0.445,0.43,0.445
2011-01-30 00:00:00+00:00,0.47985,0.48,0.445,0.445
2011-01-31 00:00:00+00:00,0.5501,0.85,0.47,0.47981
2011-02-01 00:00:00+00:00,0.70773,0.8442,0.5201100000000001,0.5201100000000001
2011-02-02 00:00:00+00:00,0.716,0.7600100000000001,0.69,0.71
