Time,utxo-value-created-total-btc-24h
2009-01-03 00:00:00+00:00,50.0
2009-01-04 00:00:00+00:00,0.0
2009-01-05 00:00:00+00:00,0.0
2009-01-06 00:00:00+00:00,0.0
2009-01-07 00:00:00+00:00,0.0
2009-01-08 00:00:00+00:00,0.0
2009-01-09 00:00:00+00:00,700.0
2009-01-10 00:00:00+00:00,3050.0
2009-01-11 00:00:00+00:00,4650.0
2009-01-12 00:00:00+00:00,4879.0
2009-01-13 00:00:00+00:00,6150.0
2009-01-14 00:00:00+00:00,6511.0
2009-01-15 00:00:00+00:00,6800.0
2009-01-16 00:00:00+00:00,5600.0
2009-01-17 00:00:00+00:00,5450.0
2009-01-18 00:00:00+00:00,5500.0
2009-01-19 00:00:00+00:00,6525.0
2009-01-20 00:00:00+00:00,6100.0
2009-01-21 00:00:00+00:00,5200.0
2009-01-22 00:00:00+00:00,5050.0
2009-01-23 00:00:00+00:00,4650.0
2009-01-24 00:00:00+00:00,10550.0
2009-01-25 00:00:00+00:00,9600.0
2009-01-26 00:00:00+00:00,5800.0
2009-01-27 00:00:00+00:00,5000.0
2009-01-28 00:00:00+00:00,5600.0
2009-01-29 00:00:00+00:00,6650.0
2009-01-30 00:00:00+00:00,5850.0
2009-01-31 00:00:00+00:00,7900.0
2009-02-01 00:00:00+00:00,5750.0
2009-02-02 00:00:00+00:00,6450.0
2009-02-03 00:00:00+00:00,7686.52
2009-02-04 00:00:00+00:00,5950.0
2009-02-05 00:00:00+00:00,6300.0
2009-02-06 00:00:00+00:00,6100.0
2009-02-07 00:00:00+00:00,7648.0
2009-02-08 00:00:00+00:00,7600.0
2009-02-09 00:00:00+00:00,8900.0
2009-02-10 00:00:00+00:00,6000.0
2009-02-11 00:00:00+00:00,7200.04
2009-02-12 00:00:00+00:00,5950.0
2009-02-13 00:00:00+00:00,6200.0
2009-02-14 00:00:00+00:00,6800.0
2009-02-15 00:00:00+00:00,7300.0
2009-02-16 00:00:00+00:00,7600.0
2009-02-17 00:00:00+00:00,5850.0
2009-02-18 00:00:00+00:00,5900.0
2009-02-19 00:00:00+00:00,7000.0
2009-02-20 00:00:00+00:00,6100.0
2009-02-21 00:00:00+00:00,5700.0
2009-02-22 00:00:00+00:00,7100.0
2009-02-23 00:00:00+00:00,5400.0
2009-02-24 00:00:00+00:00,5300.0
2009-02-25 00:00:00+00:00,5250.0
2009-02-26 00:00:00+00:00,5350.0
2009-02-27 00:00:00+00:00,7550.0
2009-02-28 00:00:00+00:00,5300.0
2009-03-01 00:00:00+00:00,5250.0
2009-03-02 00:00:00+00:00,5400.0
