Time,grayscale-holdings-btc-24h
2021-06-03 00:00:00+00:00,652308.1812738
2021-06-04 00:00:00+00:00,652272.8703987
2021-06-05 00:00:00+00:00,652272.8703987
2021-06-06 00:00:00+00:00,652272.8703987
2021-06-07 00:00:00+00:00,652165.5530332
2021-06-08 00:00:00+00:00,652129.549788
2021-06-09 00:00:00+00:00,652094.2389129
2021-06-10 00:00:00+00:00,652058.2356677
2021-06-11 00:00:00+00:00,652022.9247926
2021-06-12 00:00:00+00:00,652022.9247926
2021-06-13 00:00:00+00:00,652022.9247926
2021-06-14 00:00:00+00:00,651915.6074271
2021-06-15 00:00:00+00:00,651879.6041819
2021-06-16 00:00:00+00:00,651844.2933068
2021-06-17 00:00:00+00:00,651808.2900616
2021-06-18 00:00:00+00:00,651772.2868164
2021-06-19 00:00:00+00:00,651772.2868164
2021-06-20 00:00:00+00:00,651772.2868164
2021-06-21 00:00:00+00:00,651665.661821
2021-06-22 00:00:00+00:00,651629.6585758
2021-06-23 00:00:00+00:00,651594.347701
2021-06-24 00:00:00+00:00,651558.344456
2021-06-25 00:00:00+00:00,651522.3412103
2021-06-26 00:00:00+00:00,651522.3412103
2021-06-27 00:00:00+00:00,651522.3412103
2021-06-28 00:00:00+00:00,651415.7162149
2021-06-29 00:00:00+00:00,651379.7129697
2021-06-30 00:00:00+00:00,651344.4020946
2021-07-01 00:00:00+00:00,651308.3988494
2021-07-02 00:00:00+00:00,651273.0879743
2021-07-03 00:00:00+00:00,651273.0879743
2021-07-04 00:00:00+00:00,651273.0879743
2021-07-05 00:00:00+00:00,651273.0879743
2021-07-06 00:00:00+00:00,651129.7673636
2021-07-07 00:00:00+00:00,651094.4564885
2021-07-08 00:00:00+00:00,651058.4532433
2021-07-09 00:00:00+00:00,651023.1423682
2021-07-10 00:00:00+00:00,651023.1423682
2021-07-11 00:00:00+00:00,651023.1423682
2021-07-12 00:00:00+00:00,650915.8250027
2021-07-13 00:00:00+00:00,650880.5141276
2021-07-14 00:00:00+00:00,650844.5108824
2021-07-15 00:00:00+00:00,650809.2000073
2021-07-16 00:00:00+00:00,650773.1967621
2021-07-17 00:00:00+00:00,650773.1967621
2021-07-18 00:00:00+00:00,650773.1967621
2021-07-19 00:00:00+00:00,650666.5717667
2021-07-20 00:00:00+00:00,650630.5685215
2021-07-21 00:00:00+00:00,650595.2576464
2021-07-22 00:00:00+00:00,650559.2544012
2021-07-23 00:00:00+00:00,650523.9435261
2021-07-24 00:00:00+00:00,650523.9435261
2021-07-25 00:00:00+00:00,650523.9435261
2021-07-26 00:00:00+00:00,650416.6261606
2021-07-27 00:00:00+00:00,650381.3152855
2021-07-28 00:00:00+00:00,650345.3120403
2021-07-29 00:00:00+00:00,650310.0011652
2021-07-30 00:00:00+00:00,650273.99792
2021-07-31 00:00:00+00:00,650273.99792
2021-08-01 00:00:00+00:00,650273.99792
2021-08-02 00:00:00+00:00,650167.3729246
2021-08-03 00:00:00+00:00,650132.0620495
2021-08-04 00:00:00+00:00,650096.0588043
2021-08-05 00:00:00+00:00,650060.7479292
2021-08-06 00:00:00+00:00,650024.744684
2021-08-07 00:00:00+00:00,650024.744684
2021-08-08 00:00:00+00:00,650024.744684
2021-08-09 00:00:00+00:00,649918.1196886
2021-08-10 00:00:00+00:00,649882.1164434
2021-08-11 00:00:00+00:00,649846.8055683
2021-08-12 00:00:00+00:00,649811.4946932
2021-08-13 00:00:00+00:00,649775.491448
2021-08-14 00:00:00+00:00,649775.491448
2021-08-15 00:00:00+00:00,649775.491448
2021-08-16 00:00:00+00:00,649668.8664526
2021-08-17 00:00:00+00:00,649632.8632074
