Time,investor-capitalization-btc-24h
2010-11-05 00:00:00+00:00,65328.27658358196
2010-11-06 00:00:00+00:00,82798.49820347878
2010-11-07 00:00:00+00:00,87621.35763548542
2010-11-08 00:00:00+00:00,129183.19659731048
2010-11-09 00:00:00+00:00,130511.2007925401
2010-11-10 00:00:00+00:00,129049.10561568552
2010-11-11 00:00:00+00:00,129652.45607637538
2010-11-12 00:00:00+00:00,129900.35802461143
2010-11-13 00:00:00+00:00,132377.45263300865
2010-11-14 00:00:00+00:00,134243.0290428474
2010-11-15 00:00:00+00:00,142099.388478257
2010-11-16 00:00:00+00:00,142782.6286896987
2010-11-17 00:00:00+00:00,143107.19595465565
2010-11-18 00:00:00+00:00,143978.63368360838
2010-11-19 00:00:00+00:00,146301.63458508468
2010-11-20 00:00:00+00:00,148427.46393510996
2010-11-21 00:00:00+00:00,149180.20169103483
2010-11-22 00:00:00+00:00,149621.3699353488
2010-11-23 00:00:00+00:00,150441.7648580717
2010-11-24 00:00:00+00:00,151776.02876612364
2010-11-25 00:00:00+00:00,154071.03851050133
2010-11-26 00:00:00+00:00,151743.39704682748
2010-11-27 00:00:00+00:00,152434.5381525535
2010-11-28 00:00:00+00:00,152553.16955144872
2010-11-29 00:00:00+00:00,152442.05479964282
2010-11-30 00:00:00+00:00,150941.74841721903
2010-12-01 00:00:00+00:00,149814.69801549456
2010-12-02 00:00:00+00:00,153384.76431490894
2010-12-03 00:00:00+00:00,153517.8073007714
2010-12-04 00:00:00+00:00,153354.0210303762
2010-12-05 00:00:00+00:00,153824.1736492078
2010-12-06 00:00:00+00:00,153285.66738269292
2010-12-07 00:00:00+00:00,155002.16909575794
2010-12-08 00:00:00+00:00,155502.20212504914
2010-12-09 00:00:00+00:00,155253.29361471283
2010-12-10 00:00:00+00:00,155420.8651484315
2010-12-11 00:00:00+00:00,155113.95772387902
2010-12-12 00:00:00+00:00,155180.90392063855
2010-12-13 00:00:00+00:00,156606.20702645637
2010-12-14 00:00:00+00:00,156675.9926311415
2010-12-15 00:00:00+00:00,158806.50060250342
2010-12-16 00:00:00+00:00,159347.28897110868
2010-12-17 00:00:00+00:00,159576.64034981484
2010-12-18 00:00:00+00:00,160377.0125628783
2010-12-19 00:00:00+00:00,160458.0241967283
2010-12-20 00:00:00+00:00,163150.85520273919
2010-12-21 00:00:00+00:00,168968.20719661
2010-12-22 00:00:00+00:00,169105.6712939812
2010-12-23 00:00:00+00:00,169493.17832951463
2010-12-24 00:00:00+00:00,169392.44754722225
2010-12-25 00:00:00+00:00,170017.1323526873
2010-12-26 00:00:00+00:00,170583.4935099617
2010-12-27 00:00:00+00:00,170874.45065797732
2010-12-28 00:00:00+00:00,171601.292876395
2010-12-29 00:00:00+00:00,177541.63884079258
2010-12-30 00:00:00+00:00,178870.73004820378
2010-12-31 00:00:00+00:00,179424.30172744178
2011-01-01 00:00:00+00:00,179758.27084994683
2011-01-02 00:00:00+00:00,181437.92071757786
2011-01-03 00:00:00+00:00,182573.32298990252
2011-01-04 00:00:00+00:00,182862.33657844475
2011-01-05 00:00:00+00:00,183546.5787964785
2011-01-06 00:00:00+00:00,184009.37509143085
2011-01-07 00:00:00+00:00,185079.4993372219
2011-01-08 00:00:00+00:00,186561.7220519496
2011-01-09 00:00:00+00:00,187405.51741900062
2011-01-10 00:00:00+00:00,192688.84286518715
2011-01-11 00:00:00+00:00,201902.09278692695
