Time,receiving-addresses-btc-24h
2009-12-05 00:00:00+00:00,2
2009-12-06 00:00:00+00:00,2
2009-12-07 00:00:00+00:00,0
2009-12-08 00:00:00+00:00,1
2009-12-09 00:00:00+00:00,13
2009-12-10 00:00:00+00:00,0
2009-12-11 00:00:00+00:00,0
2009-12-12 00:00:00+00:00,1
2009-12-13 00:00:00+00:00,0
2009-12-14 00:00:00+00:00,6
2009-12-15 00:00:00+00:00,3
2009-12-16 00:00:00+00:00,1
2009-12-17 00:00:00+00:00,4
2009-12-18 00:00:00+00:00,0
2009-12-19 00:00:00+00:00,1
2009-12-20 00:00:00+00:00,0
2009-12-21 00:00:00+00:00,1
2009-12-22 00:00:00+00:00,0
2009-12-23 00:00:00+00:00,0
2009-12-24 00:00:00+00:00,0
2009-12-25 00:00:00+00:00,2
2009-12-26 00:00:00+00:00,0
2009-12-27 00:00:00+00:00,1
2009-12-28 00:00:00+00:00,0
2009-12-29 00:00:00+00:00,0
2009-12-30 00:00:00+00:00,0
2009-12-31 00:00:00+00:00,0
2010-01-01 00:00:00+00:00,2
2010-01-02 00:00:00+00:00,0
2010-01-03 00:00:00+00:00,0
2010-01-04 00:00:00+00:00,3
2010-01-05 00:00:00+00:00,0
2010-01-06 00:00:00+00:00,0
2010-01-07 00:00:00+00:00,0
2010-01-08 00:00:00+00:00,0
2010-01-09 00:00:00+00:00,0
2010-01-10 00:00:00+00:00,0
2010-01-11 00:00:00+00:00,0
2010-01-12 00:00:00+00:00,3
2010-01-13 00:00:00+00:00,4
2010-01-14 00:00:00+00:00,3
2010-01-15 00:00:00+00:00,1
2010-01-16 00:00:00+00:00,1
2010-01-17 00:00:00+00:00,0
2010-01-18 00:00:00+00:00,2
2010-01-19 00:00:00+00:00,0
2010-01-20 00:00:00+00:00,0
2010-01-21 00:00:00+00:00,8
2010-01-22 00:00:00+00:00,3
2010-01-23 00:00:00+00:00,3
2010-01-24 00:00:00+00:00,1
2010-01-25 00:00:00+00:00,4
2010-01-26 00:00:00+00:00,6
2010-01-27 00:00:00+00:00,1
2010-01-28 00:00:00+00:00,1
2010-01-29 00:00:00+00:00,2
2010-01-30 00:00:00+00:00,4
2010-01-31 00:00:00+00:00,2
2010-02-01 00:00:00+00:00,9
2010-02-02 00:00:00+00:00,1
2010-02-03 00:00:00+00:00,1
2010-02-04 00:00:00+00:00,5
2010-02-05 00:00:00+00:00,5
2010-02-06 00:00:00+00:00,3
2010-02-07 00:00:00+00:00,7
2010-02-08 00:00:00+00:00,8
2010-02-09 00:00:00+00:00,4
2010-02-10 00:00:00+00:00,3
2010-02-11 00:00:00+00:00,3
2010-02-12 00:00:00+00:00,6
2010-02-13 00:00:00+00:00,3
2010-02-14 00:00:00+00:00,7
2010-02-15 00:00:00+00:00,11
2010-02-16 00:00:00+00:00,7
2010-02-17 00:00:00+00:00,9
2010-02-18 00:00:00+00:00,6
2010-02-19 00:00:00+00:00,5
2010-02-20 00:00:00+00:00,2
2010-02-21 00:00:00+00:00,4
2010-02-22 00:00:00+00:00,6
2010-02-23 00:00:00+00:00,1
2010-02-24 00:00:00+00:00,5
2010-02-25 00:00:00+00:00,4
2010-02-26 00:00:00+00:00,5
2010-02-27 00:00:00+00:00,3
2010-02-28 00:00:00+00:00,3
2010-03-01 00:00:00+00:00,4
2010-03-02 00:00:00+00:00,5
2010-03-03 00:00:00+00:00,5
2010-03-04 00:00:00+00:00,3
2010-03-05 00:00:00+00:00,2
