Time,total-addresses-btc-24h
2009-05-23 00:00:00+00:00,15429
2009-05-24 00:00:00+00:00,15529
2009-05-25 00:00:00+00:00,15638
2009-05-26 00:00:00+00:00,15763
2009-05-27 00:00:00+00:00,15882
2009-05-28 00:00:00+00:00,15977
2009-05-29 00:00:00+00:00,16083
2009-05-30 00:00:00+00:00,16192
2009-05-31 00:00:00+00:00,16288
2009-06-01 00:00:00+00:00,16360
2009-06-02 00:00:00+00:00,16471
2009-06-03 00:00:00+00:00,16542
2009-06-04 00:00:00+00:00,16608
2009-06-05 00:00:00+00:00,16638
2009-06-06 00:00:00+00:00,16666
2009-06-07 00:00:00+00:00,16682
2009-06-08 00:00:00+00:00,16764
2009-06-09 00:00:00+00:00,16855
2009-06-10 00:00:00+00:00,16937
2009-06-11 00:00:00+00:00,17026
2009-06-12 00:00:00+00:00,17112
2009-06-13 00:00:00+00:00,17190
2009-06-14 00:00:00+00:00,17262
2009-06-15 00:00:00+00:00,17346
2009-06-16 00:00:00+00:00,17417
2009-06-17 00:00:00+00:00,17496
2009-06-18 00:00:00+00:00,17576
2009-06-19 00:00:00+00:00,17663
2009-06-20 00:00:00+00:00,17741
2009-06-21 00:00:00+00:00,17822
2009-06-22 00:00:00+00:00,17898
2009-06-23 00:00:00+00:00,17974
2009-06-24 00:00:00+00:00,18070
2009-06-25 00:00:00+00:00,18138
2009-06-26 00:00:00+00:00,18228
2009-06-27 00:00:00+00:00,18312
2009-06-28 00:00:00+00:00,18359
2009-06-29 00:00:00+00:00,18443
2009-06-30 00:00:00+00:00,18528
2009-07-01 00:00:00+00:00,18602
2009-07-02 00:00:00+00:00,18686
2009-07-03 00:00:00+00:00,18768
2009-07-04 00:00:00+00:00,18857
2009-07-05 00:00:00+00:00,18936
2009-07-06 00:00:00+00:00,19020
2009-07-07 00:00:00+00:00,19089
2009-07-08 00:00:00+00:00,19163
2009-07-09 00:00:00+00:00,19249
2009-07-10 00:00:00+00:00,19330
2009-07-11 00:00:00+00:00,19413
2009-07-12 00:00:00+00:00,19490
2009-07-13 00:00:00+00:00,19568
2009-07-14 00:00:00+00:00,19637
2009-07-15 00:00:00+00:00,19682
2009-07-16 00:00:00+00:00,19753
2009-07-17 00:00:00+00:00,19800
2009-07-18 00:00:00+00:00,19804
2009-07-19 00:00:00+00:00,19874
2009-07-20 00:00:00+00:00,19944
2009-07-21 00:00:00+00:00,20026
2009-07-22 00:00:00+00:00,20086
2009-07-23 00:00:00+00:00,20162
2009-07-24 00:00:00+00:00,20235
2009-07-25 00:00:00+00:00,20267
2009-07-26 00:00:00+00:00,20288
2009-07-27 00:00:00+00:00,20362
2009-07-28 00:00:00+00:00,20403
2009-07-29 00:00:00+00:00,20423
2009-07-30 00:00:00+00:00,20439
2009-07-31 00:00:00+00:00,20456
2009-08-01 00:00:00+00:00,20484
2009-08-02 00:00:00+00:00,20507
2009-08-03 00:00:00+00:00,20519
2009-08-04 00:00:00+00:00,20600
2009-08-05 00:00:00+00:00,20687
2009-08-06 00:00:00+00:00,20777
2009-08-07 00:00:00+00:00,20857
2009-08-08 00:00:00+00:00,20937
2009-08-09 00:00:00+00:00,21038
2009-08-10 00:00:00+00:00,21113
2009-08-11 00:00:00+00:00,21183
2009-08-12 00:00:00+00:00,21246
2009-08-13 00:00:00+00:00,21331
2009-08-14 00:00:00+00:00,21394
2009-08-15 00:00:00+00:00,21420
2009-08-16 00:00:00+00:00,21439
2009-08-17 00:00:00+00:00,21456
2009-08-18 00:00:00+00:00,21466
2009-08-19 00:00:00+00:00,21484
2009-08-20 00:00:00+00:00,21506
2009-08-21 00:00:00+00:00,21520
2009-08-22 00:00:00+00:00,21527
2009-08-23 00:00:00+00:00,21542
2009-08-24 00:00:00+00:00,21557
2009-08-25 00:00:00+00:00,21607
2009-08-26 00:00:00+00:00,21656
2009-08-27 00:00:00+00:00,21685
2009-08-28 00:00:00+00:00,21760
2009-08-29 00:00:00+00:00,21838
2009-08-30 00:00:00+00:00,21935
2009-08-31 00:00:00+00:00,22021
2009-09-01 00:00:00+00:00,22099
2009-09-02 00:00:00+00:00,22165
2009-09-03 00:00:00+00:00,22226
2009-09-04 00:00:00+00:00,22290
2009-09-05 00:00:00+00:00,22366
2009-09-06 00:00:00+00:00,22434
2009-09-07 00:00:00+00:00,22512
2009-09-08 00:00:00+00:00,22581
2009-09-09 00:00:00+00:00,22635
2009-09-10 00:00:00+00:00,22702
2009-09-11 00:00:00+00:00,22769
2009-09-12 00:00:00+00:00,22838
2009-09-13 00:00:00+00:00,22913
2009-09-14 00:00:00+00:00,22987
2009-09-15 00:00:00+00:00,23031
2009-09-16 00:00:00+00:00,23103
2009-09-17 00:00:00+00:00,23187
2009-09-18 00:00:00+00:00,23265
2009-09-19 00:00:00+00:00,23339
2009-09-20 00:00:00+00:00,23417
2009-09-21 00:00:00+00:00,23486
2009-09-22 00:00:00+00:00,23511
2009-09-23 00:00:00+00:00,23547
2009-09-24 00:00:00+00:00,23644
2009-09-25 00:00:00+00:00,23735
2009-09-26 00:00:00+00:00,23835
2009-09-27 00:00:00+00:00,23922
2009-09-28 00:00:00+00:00,24007
2009-09-29 00:00:00+00:00,24095
2009-09-30 00:00:00+00:00,24180
2009-10-01 00:00:00+00:00,24262
2009-10-02 00:00:00+00:00,24334
2009-10-03 00:00:00+00:00,24392
2009-10-04 00:00:00+00:00,24445
2009-10-05 00:00:00+00:00,24500
2009-10-06 00:00:00+00:00,24544
2009-10-07 00:00:00+00:00,24604
2009-10-08 00:00:00+00:00,24674
2009-10-09 00:00:00+00:00,24753
2009-10-10 00:00:00+00:00,24830
2009-10-11 00:00:00+00:00,24904
2009-10-12 00:00:00+00:00,24962
2009-10-13 00:00:00+00:00,25019
2009-10-14 00:00:00+00:00,25088
2009-10-15 00:00:00+00:00,25159
2009-10-16 00:00:00+00:00,25220
2009-10-17 00:00:00+00:00,25277
2009-10-18 00:00:00+00:00,25351
2009-10-19 00:00:00+00:00,25463
2009-10-20 00:00:00+00:00,25558
2009-10-21 00:00:00+00:00,25638
2009-10-22 00:00:00+00:00,25729
2009-10-23 00:00:00+00:00,25818
2009-10-24 00:00:00+00:00,25881
2009-10-25 00:00:00+00:00,25957
2009-10-26 00:00:00+00:00,26028
2009-10-27 00:00:00+00:00,26093
2009-10-28 00:00:00+00:00,26159
2009-10-29 00:00:00+00:00,26205
2009-10-30 00:00:00+00:00,26265
2009-10-31 00:00:00+00:00,26311
2009-11-01 00:00:00+00:00,26336
2009-11-02 00:00:00+00:00,26369
2009-11-03 00:00:00+00:00,26431
2009-11-04 00:00:00+00:00,26495
2009-11-05 00:00:00+00:00,26552
2009-11-06 00:00:00+00:00,26614
2009-11-07 00:00:00+00:00,26683
2009-11-08 00:00:00+00:00,26756
2009-11-09 00:00:00+00:00,26820
2009-11-10 00:00:00+00:00,26898
2009-11-11 00:00:00+00:00,26963
2009-11-12 00:00:00+00:00,27029
2009-11-13 00:00:00+00:00,27110
2009-11-14 00:00:00+00:00,27189
2009-11-15 00:00:00+00:00,27285
2009-11-16 00:00:00+00:00,27382
2009-11-17 00:00:00+00:00,27474
2009-11-18 00:00:00+00:00,27553
2009-11-19 00:00:00+00:00,27625
2009-11-20 00:00:00+00:00,27711
2009-11-21 00:00:00+00:00,27784
2009-11-22 00:00:00+00:00,27890
2009-11-23 00:00:00+00:00,27986
2009-11-24 00:00:00+00:00,28079
2009-11-25 00:00:00+00:00,28169
2009-11-26 00:00:00+00:00,28253
2009-11-27 00:00:00+00:00,28327
2009-11-28 00:00:00+00:00,28398
2009-11-29 00:00:00+00:00,28458
2009-11-30 00:00:00+00:00,28533
2009-12-01 00:00:00+00:00,28608
2009-12-02 00:00:00+00:00,28702
2009-12-03 00:00:00+00:00,28790
2009-12-04 00:00:00+00:00,28826
2009-12-05 00:00:00+00:00,28892
2009-12-06 00:00:00+00:00,28997
2009-12-07 00:00:00+00:00,29109
2009-12-08 00:00:00+00:00,29214
2009-12-09 00:00:00+00:00,29321
2009-12-10 00:00:00+00:00,29425
2009-12-11 00:00:00+00:00,29537
2009-12-12 00:00:00+00:00,29647
2009-12-13 00:00:00+00:00,29761
2009-12-14 00:00:00+00:00,29868
2009-12-15 00:00:00+00:00,29979
2009-12-16 00:00:00+00:00,30116
2009-12-17 00:00:00+00:00,30288
2009-12-18 00:00:00+00:00,30513
2009-12-19 00:00:00+00:00,30711
2009-12-20 00:00:00+00:00,30886
2009-12-21 00:00:00+00:00,31062
2009-12-22 00:00:00+00:00,31224
2009-12-23 00:00:00+00:00,31378
2009-12-24 00:00:00+00:00,31532
2009-12-25 00:00:00+00:00,31682
2009-12-26 00:00:00+00:00,31856
2009-12-27 00:00:00+00:00,32024
2009-12-28 00:00:00+00:00,32161
2009-12-29 00:00:00+00:00,32332
