Time,transaction-size-mean-btc-24h
2009-01-12 00:00:00+00:00,253.857142857143
2009-01-13 00:00:00+00:00,
2009-01-14 00:00:00+00:00,427.0
2009-01-15 00:00:00+00:00,356.5
2009-01-16 00:00:00+00:00,294.0
2009-01-17 00:00:00+00:00,
2009-01-18 00:00:00+00:00,426.0
2009-01-19 00:00:00+00:00,973.0
2009-01-20 00:00:00+00:00,997.0
2009-01-21 00:00:00+00:00,312.0
2009-01-22 00:00:00+00:00,1185.0
2009-01-23 00:00:00+00:00,577.5
2009-01-24 00:00:00+00:00,1227.0
2009-01-25 00:00:00+00:00,200.0
2009-01-26 00:00:00+00:00,2324.0
2009-01-27 00:00:00+00:00,426.0
2009-01-28 00:00:00+00:00,
2009-01-29 00:00:00+00:00,1417.0
2009-01-30 00:00:00+00:00,
2009-01-31 00:00:00+00:00,2326.0
2009-02-01 00:00:00+00:00,271.0
2009-02-02 00:00:00+00:00,159.0
2009-02-03 00:00:00+00:00,283.25
2009-02-04 00:00:00+00:00,
2009-02-05 00:00:00+00:00,
2009-02-06 00:00:00+00:00,
2009-02-07 00:00:00+00:00,789.75
2009-02-08 00:00:00+00:00,224.0
2009-02-09 00:00:00+00:00,5055.0
2009-02-10 00:00:00+00:00,
2009-02-11 00:00:00+00:00,883.0
2009-02-12 00:00:00+00:00,
2009-02-13 00:00:00+00:00,
2009-02-14 00:00:00+00:00,
2009-02-15 00:00:00+00:00,580.666666666667
2009-02-16 00:00:00+00:00,3463.0
2009-02-17 00:00:00+00:00,
2009-02-18 00:00:00+00:00,
2009-02-19 00:00:00+00:00,1871.0
2009-02-20 00:00:00+00:00,
2009-02-21 00:00:00+00:00,
2009-02-22 00:00:00+00:00,388.75
2009-02-23 00:00:00+00:00,
2009-02-24 00:00:00+00:00,
2009-02-25 00:00:00+00:00,
2009-02-26 00:00:00+00:00,
2009-02-27 00:00:00+00:00,4150.0
2009-02-28 00:00:00+00:00,844.0
2009-03-01 00:00:00+00:00,
2009-03-02 00:00:00+00:00,
2009-03-03 00:00:00+00:00,499.0
2009-03-04 00:00:00+00:00,1509.0
2009-03-05 00:00:00+00:00,953.0
2009-03-06 00:00:00+00:00,
2009-03-07 00:00:00+00:00,
2009-03-08 00:00:00+00:00,1061.33333333333
2009-03-09 00:00:00+00:00,
2009-03-10 00:00:00+00:00,
2009-03-11 00:00:00+00:00,
2009-03-12 00:00:00+00:00,427.0
2009-03-13 00:00:00+00:00,1521.0
2009-03-14 00:00:00+00:00,
2009-03-15 00:00:00+00:00,
2009-03-16 00:00:00+00:00,5511.0
2009-03-17 00:00:00+00:00,
2009-03-18 00:00:00+00:00,843.5
2009-03-19 00:00:00+00:00,
2009-03-20 00:00:00+00:00,1410.0
2009-03-21 00:00:00+00:00,
2009-03-22 00:00:00+00:00,671.0
2009-03-23 00:00:00+00:00,
2009-03-24 00:00:00+00:00,
2009-03-25 00:00:00+00:00,
2009-03-26 00:00:00+00:00,3235.0
2009-03-27 00:00:00+00:00,
2009-03-28 00:00:00+00:00,804.666666666667
2009-03-29 00:00:00+00:00,
2009-03-30 00:00:00+00:00,
2009-03-31 00:00:00+00:00,3693.0
2009-04-01 00:00:00+00:00,
2009-04-02 00:00:00+00:00,
2009-04-03 00:00:00+00:00,
2009-04-04 00:00:00+00:00,
2009-04-05 00:00:00+00:00,1012.0
2009-04-06 00:00:00+00:00,
2009-04-07 00:00:00+00:00,
2009-04-08 00:00:00+00:00,
2009-04-09 00:00:00+00:00,
2009-04-10 00:00:00+00:00,
2009-04-11 00:00:00+00:00,887.0
2009-04-12 00:00:00+00:00,519.5
2009-04-13 00:00:00+00:00,234.0
2009-04-14 00:00:00+00:00,
2009-04-15 00:00:00+00:00,
2009-04-16 00:00:00+00:00,
2009-04-17 00:00:00+00:00,
2009-04-18 00:00:00+00:00,193.75
2009-04-19 00:00:00+00:00,954.0
2009-04-20 00:00:00+00:00,6620.0
2009-04-21 00:00:00+00:00,234.0
2009-04-22 00:00:00+00:00,
2009-04-23 00:00:00+00:00,
2009-04-24 00:00:00+00:00,
2009-04-25 00:00:00+00:00,
2009-04-26 00:00:00+00:00,901.0
2009-04-27 00:00:00+00:00,
2009-04-28 00:00:00+00:00,
