Time,block-interval-mean-btc-24h
2009-05-05 00:00:00+00:00,638.918518518519
2009-05-06 00:00:00+00:00,648.977777777778
2009-05-07 00:00:00+00:00,710.893442622951
2009-05-08 00:00:00+00:00,763.542056074766
2009-05-09 00:00:00+00:00,1134.33333333333
2009-05-10 00:00:00+00:00,1049.70588235294
2009-05-11 00:00:00+00:00,717.916666666667
2009-05-12 00:00:00+00:00,672.561538461538
2009-05-13 00:00:00+00:00,774.288288288288
2009-05-14 00:00:00+00:00,628.856115107914
2009-05-15 00:00:00+00:00,631.941176470588
2009-05-16 00:00:00+00:00,729.268907563025
2009-05-17 00:00:00+00:00,687.527559055118
2009-05-18 00:00:00+00:00,732.415254237288
2009-05-19 00:00:00+00:00,1010.54651162791
2009-05-20 00:00:00+00:00,722.533333333333
2009-05-21 00:00:00+00:00,1044.30487804878
2009-05-22 00:00:00+00:00,823.508196721311
2009-05-23 00:00:00+00:00,3863.09375
2009-05-24 00:00:00+00:00,872.86
2009-05-25 00:00:00+00:00,787.651376146789
2009-05-26 00:00:00+00:00,704.28
2009-05-27 00:00:00+00:00,719.890756302521
2009-05-28 00:00:00+00:00,919.421052631579
2009-05-29 00:00:00+00:00,810.594339622642
2009-05-30 00:00:00+00:00,804.587155963303
2009-05-31 00:00:00+00:00,737.104166666667
2009-06-01 00:00:00+00:00,1226.38028169014
2009-06-02 00:00:00+00:00,916.135135135135
2009-06-03 00:00:00+00:00,909.197183098591
2009-06-04 00:00:00+00:00,1642.56060606061
2009-06-05 00:00:00+00:00,813.966666666667
2009-06-06 00:00:00+00:00,5195.17857142857
2009-06-07 00:00:00+00:00,5562.8125
2009-06-08 00:00:00+00:00,1058.07317073171
2009-06-09 00:00:00+00:00,954.098901098901
2009-06-10 00:00:00+00:00,1055.63414634146
2009-06-11 00:00:00+00:00,960.179775280899
2009-06-12 00:00:00+00:00,1011.09302325581
2009-06-13 00:00:00+00:00,1098.24358974359
2009-06-14 00:00:00+00:00,1222.04166666667
2009-06-15 00:00:00+00:00,1032.08333333333
2009-06-16 00:00:00+00:00,1194.66197183099
2009-06-17 00:00:00+00:00,1107.43037974684
2009-06-18 00:00:00+00:00,1083.2
2009-06-19 00:00:00+00:00,995.942528735632
2009-06-20 00:00:00+00:00,1082.28205128205
2009-06-21 00:00:00+00:00,1079.56790123457
2009-06-22 00:00:00+00:00,1145.64473684211
2009-06-23 00:00:00+00:00,1138.57894736842
2009-06-24 00:00:00+00:00,927.884210526316
2009-06-25 00:00:00+00:00,1272.92647058824
2009-06-26 00:00:00+00:00,968.922222222222
2009-06-27 00:00:00+00:00,1029.72619047619
2009-06-28 00:00:00+00:00,1886.32608695652
2009-06-29 00:00:00+00:00,1047.87951807229
2009-06-30 00:00:00+00:00,1012.58823529412
2009-07-01 00:00:00+00:00,1138.48648648649
2009-07-02 00:00:00+00:00,1061.4578313253
2009-07-03 00:00:00+00:00,1044.09756097561
2009-07-04 00:00:00+00:00,979.52808988764
2009-07-05 00:00:00+00:00,1094.03797468354
2009-07-06 00:00:00+00:00,1014.14285714286
2009-07-07 00:00:00+00:00,1282.05797101449
2009-07-08 00:00:00+00:00,1169.18918918919
2009-07-09 00:00:00+00:00,1006.32558139535
2009-07-10 00:00:00+00:00,1052.82716049383
2009-07-11 00:00:00+00:00,1067.75903614458
2009-07-12 00:00:00+00:00,1104.74025974026
2009-07-13 00:00:00+00:00,1132.41025641026
2009-07-14 00:00:00+00:00,1262.72463768116
2009-07-15 00:00:00+00:00,1913.75555555556
2009-07-16 00:00:00+00:00,1224.84507042254
2009-07-17 00:00:00+00:00,1289.91489361702
2009-07-18 00:00:00+00:00,25542.0
2009-07-19 00:00:00+00:00,1389.25714285714
2009-07-20 00:00:00+00:00,1236.84285714286
2009-07-21 00:00:00+00:00,1066.01219512195
2009-07-22 00:00:00+00:00,1287.83333333333
2009-07-23 00:00:00+00:00,1271.55263157895
2009-07-24 00:00:00+00:00,1163.61643835616
2009-07-25 00:00:00+00:00,1753.75
2009-07-26 00:00:00+00:00,5645.95238095238
2009-07-27 00:00:00+00:00,1169.7027027027
2009-07-28 00:00:00+00:00,2057.60975609756
2009-07-29 00:00:00+00:00,4161.68421052632
2009-07-30 00:00:00+00:00,6377.13333333333
2009-07-31 00:00:00+00:00,5005.11764705882
2009-08-01 00:00:00+00:00,3016.46428571429
2009-08-02 00:00:00+00:00,3854.39130434783
2009-08-03 00:00:00+00:00,7029.58333333333
2009-08-04 00:00:00+00:00,1110.97530864198
2009-08-05 00:00:00+00:00,999.528735632184
2009-08-06 00:00:00+00:00,971.066666666667
2009-08-07 00:00:00+00:00,1079.95
2009-08-08 00:00:00+00:00,1073.4875
2009-08-09 00:00:00+00:00,873.118811881188
2009-08-10 00:00:00+00:00,1149.06666666667
2009-08-11 00:00:00+00:00,1245.57142857143
2009-08-12 00:00:00+00:00,1359.31746031746
2009-08-13 00:00:00+00:00,1035.44705882353
2009-08-14 00:00:00+00:00,1358.90476190476
2009-08-15 00:00:00+00:00,3305.69230769231
2009-08-16 00:00:00+00:00,3607.78947368421
2009-08-17 00:00:00+00:00,5721.29411764706
2009-08-18 00:00:00+00:00,9449.8
2009-08-19 00:00:00+00:00,4838.38888888889
2009-08-20 00:00:00+00:00,3738.5
2009-08-21 00:00:00+00:00,6259.85714285714
2009-08-22 00:00:00+00:00,12716.7142857143
2009-08-23 00:00:00+00:00,5740.93333333333
2009-08-24 00:00:00+00:00,5827.73333333333
2009-08-25 00:00:00+00:00,1491.28
2009-08-26 00:00:00+00:00,2032.83333333333
2009-08-27 00:00:00+00:00,2947.96551724138
2009-08-28 00:00:00+00:00,1178.73333333333
2009-08-29 00:00:00+00:00,1110.94871794872
2009-08-30 00:00:00+00:00,905.39175257732
2009-08-31 00:00:00+00:00,1014.02325581395
2009-09-01 00:00:00+00:00,1054.08974358974
2009-09-02 00:00:00+00:00,1369.31818181818
2009-09-03 00:00:00+00:00,1435.52459016393
2009-09-04 00:00:00+00:00,1346.0
2009-09-05 00:00:00+00:00,1145.89473684211
2009-09-06 00:00:00+00:00,1247.02941176471
2009-09-07 00:00:00+00:00,1137.82051282051
2009-09-08 00:00:00+00:00,1244.91304347826
2009-09-09 00:00:00+00:00,1610.38888888889
2009-09-10 00:00:00+00:00,1305.29850746269
2009-09-11 00:00:00+00:00,1301.07462686567
2009-09-12 00:00:00+00:00,1250.68115942029
2009-09-13 00:00:00+00:00,1147.48
2009-09-14 00:00:00+00:00,1159.83783783784
2009-09-15 00:00:00+00:00,1863.09090909091
2009-09-16 00:00:00+00:00,1276.25
2009-09-17 00:00:00+00:00,1037.97619047619
2009-09-18 00:00:00+00:00,1123.52564102564
2009-09-19 00:00:00+00:00,1184.94594594595
2009-09-20 00:00:00+00:00,1105.75641025641
2009-09-21 00:00:00+00:00,1249.23188405797
2009-09-22 00:00:00+00:00,3247.88
2009-09-23 00:00:00+00:00,2545.08333333333
2009-09-24 00:00:00+00:00,909.443298969072
2009-09-25 00:00:00+00:00,952.384615384615
2009-09-26 00:00:00+00:00,877.0
2009-09-27 00:00:00+00:00,1023.13793103448
2009-09-28 00:00:00+00:00,1030.36470588235
2009-09-29 00:00:00+00:00,1004.07954545455
2009-09-30 00:00:00+00:00,1220.70588235294
2009-10-01 00:00:00+00:00,1199.79268292683
2009-10-02 00:00:00+00:00,1193.93055555556
2009-10-03 00:00:00+00:00,1492.1724137931
2009-10-04 00:00:00+00:00,1617.52830188679
2009-10-05 00:00:00+00:00,1607.30909090909
2009-10-06 00:00:00+00:00,1947.46511627907
2009-10-07 00:00:00+00:00,1469.86666666667
2009-10-08 00:00:00+00:00,1266.75714285714
2009-10-09 00:00:00+00:00,1194.26582278481
2009-10-10 00:00:00+00:00,1444.06493506494
2009-10-11 00:00:00+00:00,1171.08108108108
2009-10-12 00:00:00+00:00,1491.0
2009-10-13 00:00:00+00:00,1520.43859649123
2009-10-14 00:00:00+00:00,1259.04347826087
2009-10-15 00:00:00+00:00,1212.21126760563
2009-10-16 00:00:00+00:00,1414.7
2009-10-17 00:00:00+00:00,1547.52631578947
2009-10-18 00:00:00+00:00,1163.36486486486
2009-10-19 00:00:00+00:00,774.285714285714
2009-10-20 00:00:00+00:00,913.631578947368
2009-10-21 00:00:00+00:00,1072.475
2009-10-22 00:00:00+00:00,982.455555555556
2009-10-23 00:00:00+00:00,969.325842696629
2009-10-24 00:00:00+00:00,1359.64516129032
2009-10-25 00:00:00+00:00,1157.92105263158
2009-10-26 00:00:00+00:00,1223.3661971831
2009-10-27 00:00:00+00:00,1342.953125
2009-10-28 00:00:00+00:00,1253.63636363636
2009-10-29 00:00:00+00:00,1982.21739130435
2009-10-30 00:00:00+00:00,1408.55
2009-10-31 00:00:00+00:00,1910.19565217391
2009-11-01 00:00:00+00:00,3464.68
2009-11-02 00:00:00+00:00,2586.78787878788
2009-11-03 00:00:00+00:00,1391.93548387097
2009-11-04 00:00:00+00:00,1378.34920634921
2009-11-05 00:00:00+00:00,1464.80701754386
2009-11-06 00:00:00+00:00,1431.3064516129
2009-11-07 00:00:00+00:00,1234.66666666667
2009-11-08 00:00:00+00:00,1220.35616438356
2009-11-09 00:00:00+00:00,1346.953125
2009-11-10 00:00:00+00:00,1101.25641025641
2009-11-11 00:00:00+00:00,1358.859375
2009-11-12 00:00:00+00:00,1299.40909090909
2009-11-13 00:00:00+00:00,1076.6
2009-11-14 00:00:00+00:00,1080.01265822785
2009-11-15 00:00:00+00:00,919.520833333333
2009-11-16 00:00:00+00:00,886.525773195876
2009-11-17 00:00:00+00:00,944.978260869565
2009-11-18 00:00:00+00:00,1093.55696202532
2009-11-19 00:00:00+00:00,1226.54285714286
2009-11-20 00:00:00+00:00,1002.44186046512
2009-11-21 00:00:00+00:00,1194.04109589041
2009-11-22 00:00:00+00:00,812.27358490566
2009-11-23 00:00:00+00:00,901.854166666667
2009-11-24 00:00:00+00:00,922.268817204301
2009-11-25 00:00:00+00:00,958.211111111111
2009-11-26 00:00:00+00:00,1033.11904761905
2009-11-27 00:00:00+00:00,1177.93243243243
2009-11-28 00:00:00+00:00,1217.18309859155
2009-11-29 00:00:00+00:00,1436.63333333333
2009-11-30 00:00:00+00:00,1152.65333333333
2009-12-01 00:00:00+00:00,1190.72602739726
2009-12-02 00:00:00+00:00,923.425531914894
2009-12-03 00:00:00+00:00,950.556818181818
2009-12-04 00:00:00+00:00,2484.05555555556
2009-12-05 00:00:00+00:00,1336.21875
2009-12-06 00:00:00+00:00,831.796116504854
2009-12-07 00:00:00+00:00,779.973214285714
2009-12-08 00:00:00+00:00,819.190476190476
2009-12-09 00:00:00+00:00,900.8125
2009-12-10 00:00:00+00:00,837.278846153846
2009-12-11 00:00:00+00:00,754.267857142857
2009-12-12 00:00:00+00:00,798.836363636364
2009-12-13 00:00:00+00:00,760.201754385965
2009-12-14 00:00:00+00:00,844.137254901961
2009-12-15 00:00:00+00:00,779.327272727273
2009-12-16 00:00:00+00:00,643.110294117647
2009-12-17 00:00:00+00:00,515.254437869822
2009-12-18 00:00:00+00:00,384.182222222222
2009-12-19 00:00:00+00:00,433.641414141414
2009-12-20 00:00:00+00:00,488.348571428571
2009-12-21 00:00:00+00:00,500.845714285714
2009-12-22 00:00:00+00:00,530.006172839506
2009-12-23 00:00:00+00:00,566.558441558442
2009-12-24 00:00:00+00:00,559.545454545455
2009-12-25 00:00:00+00:00,573.281879194631
2009-12-26 00:00:00+00:00,502.293103448276
2009-12-27 00:00:00+00:00,510.97005988024
2009-12-28 00:00:00+00:00,730.525547445255
2009-12-29 00:00:00+00:00,513.707602339181
2009-12-30 00:00:00+00:00,612.68085106383
2009-12-31 00:00:00+00:00,619.449275362319
2010-01-01 00:00:00+00:00,854.090909090909
2010-01-02 00:00:00+00:00,963.5
2010-01-03 00:00:00+00:00,465.306451612903
2010-01-04 00:00:00+00:00,478.077348066298
2010-01-05 00:00:00+00:00,437.919191919192
2010-01-06 00:00:00+00:00,529.533742331288
2010-01-07 00:00:00+00:00,560.662337662338
2010-01-08 00:00:00+00:00,565.281045751634
2010-01-09 00:00:00+00:00,569.907284768212
2010-01-10 00:00:00+00:00,455.094736842105
2010-01-11 00:00:00+00:00,546.025157232704
2010-01-12 00:00:00+00:00,542.477987421384
2010-01-13 00:00:00+00:00,528.34756097561
2010-01-14 00:00:00+00:00,589.41958041958
2010-01-15 00:00:00+00:00,628.014184397163
2010-01-16 00:00:00+00:00,690.632
2010-01-17 00:00:00+00:00,658.69465648855
2010-01-18 00:00:00+00:00,689.288
2010-01-19 00:00:00+00:00,693.540322580645
2010-01-20 00:00:00+00:00,551.803797468354
2010-01-21 00:00:00+00:00,491.434285714286
2010-01-22 00:00:00+00:00,653.766917293233
