Time,transaction-size-total-btc-24h
2009-01-12 00:00:00+00:00,1777.0
2009-01-13 00:00:00+00:00,
2009-01-14 00:00:00+00:00,427.0
2009-01-15 00:00:00+00:00,2852.0
2009-01-16 00:00:00+00:00,588.0
2009-01-17 00:00:00+00:00,
2009-01-18 00:00:00+00:00,426.0
2009-01-19 00:00:00+00:00,1946.0
2009-01-20 00:00:00+00:00,997.0
2009-01-21 00:00:00+00:00,312.0
2009-01-22 00:00:00+00:00,1185.0
2009-01-23 00:00:00+00:00,1155.0
2009-01-24 00:00:00+00:00,1227.0
2009-01-25 00:00:00+00:00,200.0
2009-01-26 00:00:00+00:00,2324.0
2009-01-27 00:00:00+00:00,426.0
2009-01-28 00:00:00+00:00,
2009-01-29 00:00:00+00:00,1417.0
2009-01-30 00:00:00+00:00,
2009-01-31 00:00:00+00:00,2326.0
2009-02-01 00:00:00+00:00,271.0
2009-02-02 00:00:00+00:00,159.0
2009-02-03 00:00:00+00:00,4532.0
2009-02-04 00:00:00+00:00,
2009-02-05 00:00:00+00:00,
2009-02-06 00:00:00+00:00,
2009-02-07 00:00:00+00:00,3159.0
2009-02-08 00:00:00+00:00,224.0
2009-02-09 00:00:00+00:00,5055.0
2009-02-10 00:00:00+00:00,
2009-02-11 00:00:00+00:00,1766.0
2009-02-12 00:00:00+00:00,
2009-02-13 00:00:00+00:00,
2009-02-14 00:00:00+00:00,
2009-02-15 00:00:00+00:00,1742.0
2009-02-16 00:00:00+00:00,3463.0
2009-02-17 00:00:00+00:00,
2009-02-18 00:00:00+00:00,
2009-02-19 00:00:00+00:00,1871.0
2009-02-20 00:00:00+00:00,
2009-02-21 00:00:00+00:00,
2009-02-22 00:00:00+00:00,1555.0
2009-02-23 00:00:00+00:00,
2009-02-24 00:00:00+00:00,
2009-02-25 00:00:00+00:00,
2009-02-26 00:00:00+00:00,
2009-02-27 00:00:00+00:00,4150.0
2009-02-28 00:00:00+00:00,844.0
2009-03-01 00:00:00+00:00,
2009-03-02 00:00:00+00:00,
2009-03-03 00:00:00+00:00,998.0
2009-03-04 00:00:00+00:00,3018.0
2009-03-05 00:00:00+00:00,953.0
2009-03-06 00:00:00+00:00,
2009-03-07 00:00:00+00:00,
2009-03-08 00:00:00+00:00,3184.0
2009-03-09 00:00:00+00:00,
2009-03-10 00:00:00+00:00,
2009-03-11 00:00:00+00:00,
2009-03-12 00:00:00+00:00,427.0
2009-03-13 00:00:00+00:00,1521.0
2009-03-14 00:00:00+00:00,
2009-03-15 00:00:00+00:00,
2009-03-16 00:00:00+00:00,5511.0
2009-03-17 00:00:00+00:00,
2009-03-18 00:00:00+00:00,1687.0
2009-03-19 00:00:00+00:00,
2009-03-20 00:00:00+00:00,1410.0
2009-03-21 00:00:00+00:00,
2009-03-22 00:00:00+00:00,1342.0
2009-03-23 00:00:00+00:00,
2009-03-24 00:00:00+00:00,
2009-03-25 00:00:00+00:00,
2009-03-26 00:00:00+00:00,3235.0
2009-03-27 00:00:00+00:00,
2009-03-28 00:00:00+00:00,2414.0
2009-03-29 00:00:00+00:00,
2009-03-30 00:00:00+00:00,
2009-03-31 00:00:00+00:00,3693.0
2009-04-01 00:00:00+00:00,
2009-04-02 00:00:00+00:00,
2009-04-03 00:00:00+00:00,
2009-04-04 00:00:00+00:00,
2009-04-05 00:00:00+00:00,2024.0
2009-04-06 00:00:00+00:00,
2009-04-07 00:00:00+00:00,
2009-04-08 00:00:00+00:00,
2009-04-09 00:00:00+00:00,
2009-04-10 00:00:00+00:00,
2009-04-11 00:00:00+00:00,887.0
2009-04-12 00:00:00+00:00,1039.0
2009-04-13 00:00:00+00:00,234.0
2009-04-14 00:00:00+00:00,
2009-04-15 00:00:00+00:00,
2009-04-16 00:00:00+00:00,
2009-04-17 00:00:00+00:00,
2009-04-18 00:00:00+00:00,775.0
2009-04-19 00:00:00+00:00,954.0
2009-04-20 00:00:00+00:00,13240.0
2009-04-21 00:00:00+00:00,234.0
2009-04-22 00:00:00+00:00,
2009-04-23 00:00:00+00:00,
2009-04-24 00:00:00+00:00,
2009-04-25 00:00:00+00:00,
2009-04-26 00:00:00+00:00,1802.0
2009-04-27 00:00:00+00:00,
2009-04-28 00:00:00+00:00,
2009-04-29 00:00:00+00:00,2318.0
2009-04-30 00:00:00+00:00,
2009-05-01 00:00:00+00:00,
2009-05-02 00:00:00+00:00,1948.0
2009-05-03 00:00:00+00:00,846.0
2009-05-04 00:00:00+00:00,3469.0
2009-05-05 00:00:00+00:00,1187.0
2009-05-06 00:00:00+00:00,
2009-05-07 00:00:00+00:00,
2009-05-08 00:00:00+00:00,
2009-05-09 00:00:00+00:00,
2009-05-10 00:00:00+00:00,
2009-05-11 00:00:00+00:00,350.0
2009-05-12 00:00:00+00:00,
2009-05-13 00:00:00+00:00,1093.0
2009-05-14 00:00:00+00:00,749.0
2009-05-15 00:00:00+00:00,1182.0
2009-05-16 00:00:00+00:00,
2009-05-17 00:00:00+00:00,
2009-05-18 00:00:00+00:00,
2009-05-19 00:00:00+00:00,
2009-05-20 00:00:00+00:00,
2009-05-21 00:00:00+00:00,
2009-05-22 00:00:00+00:00,
2009-05-23 00:00:00+00:00,
2009-05-24 00:00:00+00:00,
2009-05-25 00:00:00+00:00,
2009-05-26 00:00:00+00:00,
2009-05-27 00:00:00+00:00,
2009-05-28 00:00:00+00:00,
2009-05-29 00:00:00+00:00,6883.0
2009-05-30 00:00:00+00:00,
2009-05-31 00:00:00+00:00,
2009-06-01 00:00:00+00:00,276.0
2009-06-02 00:00:00+00:00,
2009-06-03 00:00:00+00:00,
2009-06-04 00:00:00+00:00,
2009-06-05 00:00:00+00:00,
2009-06-06 00:00:00+00:00,
2009-06-07 00:00:00+00:00,
2009-06-08 00:00:00+00:00,
2009-06-09 00:00:00+00:00,
2009-06-10 00:00:00+00:00,
2009-06-11 00:00:00+00:00,
2009-06-12 00:00:00+00:00,
2009-06-13 00:00:00+00:00,
2009-06-14 00:00:00+00:00,
2009-06-15 00:00:00+00:00,
2009-06-16 00:00:00+00:00,
2009-06-17 00:00:00+00:00,
2009-06-18 00:00:00+00:00,
2009-06-19 00:00:00+00:00,
2009-06-20 00:00:00+00:00,
2009-06-21 00:00:00+00:00,
2009-06-22 00:00:00+00:00,6876.0
2009-06-23 00:00:00+00:00,
2009-06-24 00:00:00+00:00,547.0
2009-06-25 00:00:00+00:00,2321.0
2009-06-26 00:00:00+00:00,
2009-06-27 00:00:00+00:00,
2009-06-28 00:00:00+00:00,235.0
2009-06-29 00:00:00+00:00,234.0
2009-06-30 00:00:00+00:00,453.0
2009-07-01 00:00:00+00:00,273.0
2009-07-02 00:00:00+00:00,235.0
2009-07-03 00:00:00+00:00,
2009-07-04 00:00:00+00:00,
2009-07-05 00:00:00+00:00,
2009-07-06 00:00:00+00:00,
2009-07-07 00:00:00+00:00,
2009-07-08 00:00:00+00:00,
2009-07-09 00:00:00+00:00,
2009-07-10 00:00:00+00:00,
2009-07-11 00:00:00+00:00,
2009-07-12 00:00:00+00:00,
2009-07-13 00:00:00+00:00,
2009-07-14 00:00:00+00:00,
2009-07-15 00:00:00+00:00,
2009-07-16 00:00:00+00:00,
2009-07-17 00:00:00+00:00,
2009-07-18 00:00:00+00:00,
2009-07-19 00:00:00+00:00,
2009-07-20 00:00:00+00:00,13918.0
2009-07-21 00:00:00+00:00,
2009-07-22 00:00:00+00:00,
2009-07-23 00:00:00+00:00,
2009-07-24 00:00:00+00:00,
2009-07-25 00:00:00+00:00,
2009-07-26 00:00:00+00:00,
2009-07-27 00:00:00+00:00,
2009-07-28 00:00:00+00:00,
2009-07-29 00:00:00+00:00,271.0
2009-07-30 00:00:00+00:00,233.0
2009-07-31 00:00:00+00:00,
2009-08-01 00:00:00+00:00,
2009-08-02 00:00:00+00:00,
2009-08-03 00:00:00+00:00,
2009-08-04 00:00:00+00:00,
2009-08-05 00:00:00+00:00,
2009-08-06 00:00:00+00:00,
2009-08-07 00:00:00+00:00,12767.0
2009-08-08 00:00:00+00:00,
2009-08-09 00:00:00+00:00,
2009-08-10 00:00:00+00:00,
2009-08-11 00:00:00+00:00,
2009-08-12 00:00:00+00:00,
2009-08-13 00:00:00+00:00,
2009-08-14 00:00:00+00:00,
2009-08-15 00:00:00+00:00,
2009-08-16 00:00:00+00:00,
2009-08-17 00:00:00+00:00,
2009-08-18 00:00:00+00:00,
2009-08-19 00:00:00+00:00,
2009-08-20 00:00:00+00:00,
2009-08-21 00:00:00+00:00,
2009-08-22 00:00:00+00:00,
2009-08-23 00:00:00+00:00,
2009-08-24 00:00:00+00:00,
2009-08-25 00:00:00+00:00,
2009-08-26 00:00:00+00:00,5757.0
2009-08-27 00:00:00+00:00,
2009-08-28 00:00:00+00:00,
2009-08-29 00:00:00+00:00,
2009-08-30 00:00:00+00:00,159.0
2009-08-31 00:00:00+00:00,729.0
2009-09-01 00:00:00+00:00,
2009-09-02 00:00:00+00:00,
2009-09-03 00:00:00+00:00,1642.0
2009-09-04 00:00:00+00:00,
2009-09-05 00:00:00+00:00,
2009-09-06 00:00:00+00:00,
2009-09-07 00:00:00+00:00,1526.0
2009-09-08 00:00:00+00:00,
2009-09-09 00:00:00+00:00,
2009-09-10 00:00:00+00:00,
2009-09-11 00:00:00+00:00,
2009-09-12 00:00:00+00:00,
2009-09-13 00:00:00+00:00,
2009-09-14 00:00:00+00:00,
2009-09-15 00:00:00+00:00,
2009-09-16 00:00:00+00:00,224.0
2009-09-17 00:00:00+00:00,11634.0
2009-09-18 00:00:00+00:00,
2009-09-19 00:00:00+00:00,
2009-09-20 00:00:00+00:00,
2009-09-21 00:00:00+00:00,954.0
2009-09-22 00:00:00+00:00,4606.0
2009-09-23 00:00:00+00:00,
2009-09-24 00:00:00+00:00,
2009-09-25 00:00:00+00:00,3054.0
2009-09-26 00:00:00+00:00,
2009-09-27 00:00:00+00:00,1867.0
2009-09-28 00:00:00+00:00,
2009-09-29 00:00:00+00:00,4988.0
2009-09-30 00:00:00+00:00,
2009-10-01 00:00:00+00:00,
2009-10-02 00:00:00+00:00,1183.0
2009-10-03 00:00:00+00:00,
2009-10-04 00:00:00+00:00,
2009-10-05 00:00:00+00:00,
2009-10-06 00:00:00+00:00,1862.0
2009-10-07 00:00:00+00:00,
2009-10-08 00:00:00+00:00,
2009-10-09 00:00:00+00:00,
2009-10-10 00:00:00+00:00,
2009-10-11 00:00:00+00:00,
2009-10-12 00:00:00+00:00,8617.0
2009-10-13 00:00:00+00:00,
2009-10-14 00:00:00+00:00,
2009-10-15 00:00:00+00:00,
2009-10-16 00:00:00+00:00,9408.0
2009-10-17 00:00:00+00:00,
2009-10-18 00:00:00+00:00,841.0
2009-10-19 00:00:00+00:00,
2009-10-20 00:00:00+00:00,11633.0
2009-10-21 00:00:00+00:00,2095.0
2009-10-22 00:00:00+00:00,4736.0
2009-10-23 00:00:00+00:00,
2009-10-24 00:00:00+00:00,907.0
2009-10-25 00:00:00+00:00,
2009-10-26 00:00:00+00:00,
2009-10-27 00:00:00+00:00,1933.0
2009-10-28 00:00:00+00:00,
2009-10-29 00:00:00+00:00,4770.0
2009-10-30 00:00:00+00:00,
2009-10-31 00:00:00+00:00,
2009-11-01 00:00:00+00:00,
2009-11-02 00:00:00+00:00,
2009-11-03 00:00:00+00:00,
2009-11-04 00:00:00+00:00,4960.0
2009-11-05 00:00:00+00:00,
2009-11-06 00:00:00+00:00,
2009-11-07 00:00:00+00:00,
2009-11-08 00:00:00+00:00,
2009-11-09 00:00:00+00:00,
2009-11-10 00:00:00+00:00,
2009-11-11 00:00:00+00:00,7417.0
2009-11-12 00:00:00+00:00,
2009-11-13 00:00:00+00:00,1833.0
2009-11-14 00:00:00+00:00,
2009-11-15 00:00:00+00:00,
2009-11-16 00:00:00+00:00,
2009-11-17 00:00:00+00:00,
2009-11-18 00:00:00+00:00,
2009-11-19 00:00:00+00:00,11183.0
2009-11-20 00:00:00+00:00,
2009-11-21 00:00:00+00:00,
2009-11-22 00:00:00+00:00,
2009-11-23 00:00:00+00:00,
2009-11-24 00:00:00+00:00,
2009-11-25 00:00:00+00:00,
2009-11-26 00:00:00+00:00,
2009-11-27 00:00:00+00:00,
2009-11-28 00:00:00+00:00,
2009-11-29 00:00:00+00:00,
2009-11-30 00:00:00+00:00,
2009-12-01 00:00:00+00:00,19569.0
2009-12-02 00:00:00+00:00,
2009-12-03 00:00:00+00:00,
2009-12-04 00:00:00+00:00,
2009-12-05 00:00:00+00:00,2170.0
2009-12-06 00:00:00+00:00,505.0
2009-12-07 00:00:00+00:00,
2009-12-08 00:00:00+00:00,3506.0
2009-12-09 00:00:00+00:00,4547.0
2009-12-10 00:00:00+00:00,
2009-12-11 00:00:00+00:00,
2009-12-12 00:00:00+00:00,7802.0
2009-12-13 00:00:00+00:00,
2009-12-14 00:00:00+00:00,38341.0
2009-12-15 00:00:00+00:00,1248.0
2009-12-16 00:00:00+00:00,1985.0
2009-12-17 00:00:00+00:00,1620.0
2009-12-18 00:00:00+00:00,
2009-12-19 00:00:00+00:00,159.0
2009-12-20 00:00:00+00:00,
2009-12-21 00:00:00+00:00,158.0
2009-12-22 00:00:00+00:00,
2009-12-23 00:00:00+00:00,
2009-12-24 00:00:00+00:00,
2009-12-25 00:00:00+00:00,233.0
2009-12-26 00:00:00+00:00,
2009-12-27 00:00:00+00:00,656.0
2009-12-28 00:00:00+00:00,
2009-12-29 00:00:00+00:00,
2009-12-30 00:00:00+00:00,
2009-12-31 00:00:00+00:00,
2010-01-01 00:00:00+00:00,316.0
2010-01-02 00:00:00+00:00,
2010-01-03 00:00:00+00:00,
2010-01-04 00:00:00+00:00,9649.0
2010-01-05 00:00:00+00:00,
2010-01-06 00:00:00+00:00,
2010-01-07 00:00:00+00:00,
2010-01-08 00:00:00+00:00,
2010-01-09 00:00:00+00:00,
2010-01-10 00:00:00+00:00,
2010-01-11 00:00:00+00:00,
2010-01-12 00:00:00+00:00,24882.0
2010-01-13 00:00:00+00:00,466.0
2010-01-14 00:00:00+00:00,1296.0
2010-01-15 00:00:00+00:00,615.0
2010-01-16 00:00:00+00:00,833.0
2010-01-17 00:00:00+00:00,
2010-01-18 00:00:00+00:00,233.0
2010-01-19 00:00:00+00:00,
2010-01-20 00:00:00+00:00,
2010-01-21 00:00:00+00:00,3428.0
2010-01-22 00:00:00+00:00,780.0
2010-01-23 00:00:00+00:00,460.0
2010-01-24 00:00:00+00:00,157.0
2010-01-25 00:00:00+00:00,7531.0
2010-01-26 00:00:00+00:00,2833.0
2010-01-27 00:00:00+00:00,2364.0
2010-01-28 00:00:00+00:00,2479.0
2010-01-29 00:00:00+00:00,2381.0
2010-01-30 00:00:00+00:00,4133.0
2010-01-31 00:00:00+00:00,2181.0
2010-02-01 00:00:00+00:00,3343.0
2010-02-02 00:00:00+00:00,2436.0
2010-02-03 00:00:00+00:00,773.0
2010-02-04 00:00:00+00:00,5085.0
2010-02-05 00:00:00+00:00,28319.0
2010-02-06 00:00:00+00:00,4109.0
2010-02-07 00:00:00+00:00,1555.0
2010-02-08 00:00:00+00:00,15012.0
2010-02-09 00:00:00+00:00,47859.0
2010-02-10 00:00:00+00:00,69379.0
2010-02-11 00:00:00+00:00,8650.0
2010-02-12 00:00:00+00:00,7372.0
2010-02-13 00:00:00+00:00,9962.0
2010-02-14 00:00:00+00:00,7715.0
2010-02-15 00:00:00+00:00,11106.0
2010-02-16 00:00:00+00:00,2310.0
2010-02-17 00:00:00+00:00,4370.0
2010-02-18 00:00:00+00:00,7006.0
2010-02-19 00:00:00+00:00,874.0
2010-02-20 00:00:00+00:00,1610.0
2010-02-21 00:00:00+00:00,14614.0
2010-02-22 00:00:00+00:00,30773.0
2010-02-23 00:00:00+00:00,158.0
2010-02-24 00:00:00+00:00,12534.0
2010-02-25 00:00:00+00:00,16540.0
2010-02-26 00:00:00+00:00,2670.0
2010-02-27 00:00:00+00:00,1337.0
2010-02-28 00:00:00+00:00,12281.0
2010-03-01 00:00:00+00:00,3829.0
2010-03-02 00:00:00+00:00,4821.0
2010-03-03 00:00:00+00:00,14338.0
2010-03-04 00:00:00+00:00,44281.0
2010-03-05 00:00:00+00:00,382.0
2010-03-06 00:00:00+00:00,11132.0
2010-03-07 00:00:00+00:00,13422.0
2010-03-08 00:00:00+00:00,21005.0
2010-03-09 00:00:00+00:00,9317.0
2010-03-10 00:00:00+00:00,5480.0
2010-03-11 00:00:00+00:00,7435.0
2010-03-12 00:00:00+00:00,890.0
2010-03-13 00:00:00+00:00,4146.0
2010-03-14 00:00:00+00:00,1424.0
2010-03-15 00:00:00+00:00,1206.0
2010-03-16 00:00:00+00:00,3062.0
2010-03-17 00:00:00+00:00,3068.0
2010-03-18 00:00:00+00:00,9900.0
2010-03-19 00:00:00+00:00,14949.0
2010-03-20 00:00:00+00:00,9620.0
2010-03-21 00:00:00+00:00,1400.0
2010-03-22 00:00:00+00:00,4956.0
2010-03-23 00:00:00+00:00,9626.0
2010-03-24 00:00:00+00:00,4714.0
2010-03-25 00:00:00+00:00,40217.0
2010-03-26 00:00:00+00:00,9576.0
2010-03-27 00:00:00+00:00,3276.0
2010-03-28 00:00:00+00:00,2625.0
2010-03-29 00:00:00+00:00,8344.0
