Time,market-cap-btc-24h
2010-11-05 00:00:00+00:00,1043667.6153191482
2010-11-06 00:00:00+00:00,1211734.2422958543
2010-11-07 00:00:00+00:00,1607653.1750103026
2010-11-08 00:00:00+00:00,1463099.4277218003
2010-11-09 00:00:00+00:00,1174478.3434185148
2010-11-10 00:00:00+00:00,855199.8835360367
2010-11-11 00:00:00+00:00,1041344.581494682
2010-11-12 00:00:00+00:00,1085312.7347443153
2010-11-13 00:00:00+00:00,1270109.1094617923
2010-11-14 00:00:00+00:00,1289971.8505698903
2010-11-15 00:00:00+00:00,1286088.578816933
2010-11-16 00:00:00+00:00,1210980.4479681228
2010-11-17 00:00:00+00:00,1151484.2505374998
2010-11-18 00:00:00+00:00,1166098.0629798397
2010-11-19 00:00:00+00:00,1255353.1107096793
2010-11-20 00:00:00+00:00,1287941.8037556508
2010-11-21 00:00:00+00:00,1289340.6268235235
2010-11-22 00:00:00+00:00,1278869.8903829583
2010-11-23 00:00:00+00:00,1318765.85917403
2010-11-24 00:00:00+00:00,1315650.0100666657
2010-11-25 00:00:00+00:00,1319552.321548201
2010-11-26 00:00:00+00:00,1324016.4559868583
2010-11-27 00:00:00+00:00,1332202.2485274994
2010-11-28 00:00:00+00:00,1318616.7653151406
2010-11-29 00:00:00+00:00,1245636.6134054344
2010-11-30 00:00:00+00:00,1028325.9020094888
2010-12-01 00:00:00+00:00,1021440.3401635187
2010-12-02 00:00:00+00:00,1116669.1156245428
2010-12-03 00:00:00+00:00,1179967.2673883012
2010-12-04 00:00:00+00:00,1156897.8070865532
2010-12-05 00:00:00+00:00,1009615.2791509092
2010-12-06 00:00:00+00:00,932112.0468310917
2010-12-07 00:00:00+00:00,962661.7091581613
2010-12-08 00:00:00+00:00,1115673.307926703
2010-12-09 00:00:00+00:00,1026916.6365610457
2010-12-10 00:00:00+00:00,942704.0235204998
2010-12-11 00:00:00+00:00,1057607.668454935
2010-12-12 00:00:00+00:00,1026220.123592306
2010-12-13 00:00:00+00:00,1066022.5417160278
2010-12-14 00:00:00+00:00,1100104.4308415682
2010-12-15 00:00:00+00:00,1195584.2241631937
2010-12-16 00:00:00+00:00,1174901.237871748
2010-12-17 00:00:00+00:00,1213191.2419902917
2010-12-18 00:00:00+00:00,1221964.305636362
2010-12-19 00:00:00+00:00,1216174.2185760795
2010-12-20 00:00:00+00:00,1262343.4597179478
2010-12-21 00:00:00+00:00,1261138.9332901505
2010-12-22 00:00:00+00:00,1224301.9365269453
2010-12-23 00:00:00+00:00,1233581.050512863
2010-12-24 00:00:00+00:00,1240200.095124845
2010-12-25 00:00:00+00:00,1240605.7275773208
2010-12-26 00:00:00+00:00,1275170.7246859747
2010-12-27 00:00:00+00:00,1278616.0856115094
2010-12-28 00:00:00+00:00,1342717.5093851255
2010-12-29 00:00:00+00:00,1453978.1034784222
2010-12-30 00:00:00+00:00,1465971.9773195838
2010-12-31 00:00:00+00:00,1484341.493212667
2011-01-01 00:00:00+00:00,1503338.021978018
2011-01-02 00:00:00+00:00,1492915.8979572644
