ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper
2021-11-04,48387.068249420976,42398.48858333953,55046.78842673761,48795.631800624484,48795.631800624484,48795.631800624484
2021-11-05,48393.129327125804,41506.173465392654,54274.88116412679,48853.792669609546,48853.792669609546,48853.792669609546
2021-11-06,48374.79222540775,42167.52952904919,54492.24604803558,48911.953538594644,48911.953538594644,48911.953538594644
2021-11-07,48334.76741928505,42350.00369780692,54144.300455427554,48970.114407579706,48970.114407579706,48970.114407579706
2021-11-08,48319.23582164789,41963.62155729839,54664.7014904783,49028.275276564804,49028.275276564804,49028.275276564804
2021-11-09,48285.80705879623,42658.4415125394,54830.49957739367,49086.436145549866,49086.436145549866,49086.436145549866
2021-11-10,48308.77581582748,42138.39332898856,54406.509483945396,49144.597014534964,49144.597014534964,49144.597014534964
2021-11-11,48270.03566049499,42133.58230058576,54231.429621621704,49202.757883520026,49202.757883520026,49202.757883520026
2021-11-12,48312.94388839904,42241.1023898392,54357.144903039916,49260.918752505124,49260.918752505124,49260.918752505124
2021-11-13,48338.41975821487,42509.52077777696,54256.22163193536,49319.079621490186,49319.079621490186,49319.079621490186
2021-11-14,48348.102958202,41410.602113591565,54332.92278287139,49377.240490475284,49377.240490475284,49377.240490475284
2021-11-15,48386.99978610494,42109.12105078562,54953.58528331272,49435.40135946038,49435.40135946038,49435.40135946038
2021-11-16,48411.470074281206,42442.68696928376,54421.91944459715,49493.562228445444,49493.562228445444,49493.562228445444
2021-11-17,48494.51390042351,42239.34515335439,54470.26303259677,49551.72309743054,49551.72309743054,49551.72309743054
