ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper
2021-11-04,48387.068249420976,42426.96401015974,54184.35625589592,48795.631800624484,48795.631800624484,48795.631800624484
2021-11-05,48393.129327125804,42129.929967273216,54243.713393610116,48853.792669609546,48853.792669609546,48853.792669609546
2021-11-06,48374.79222540775,42176.66096940156,54701.04384920391,48911.953538594644,48911.953538594644,48911.953538594644
2021-11-07,48334.76741928505,42286.02734213079,54356.76936380077,48970.114407579706,48970.114407579706,48970.114407579706
2021-11-08,48319.23582164789,42282.05597452563,54428.26064857739,49028.275276564804,49028.275276564804,49028.275276564804
2021-11-09,48285.80705879623,42351.5088793301,54431.409025982815,49086.436145549866,49086.436145549866,49086.436145549866
2021-11-10,48308.77581582748,42676.743253305285,55238.763932883136,49144.597014534964,49144.597014534964,49144.597014534964
