ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper
2020-08-06 01:00:00,11136.891798823339,10837.801768062674,11426.145294154523,11055.858384809533,10783.214938809931,11323.151615691637
2020-08-07 01:00:00,11026.062189266158,10230.395215512568,11835.474119972301,10945.02877525401,10147.66623151722,11788.879800608289
2020-08-08 01:00:00,10915.232579711537,9380.711139812182,12425.574132146314,10834.199165698486,9307.21545159441,12374.907003584587
2020-08-09 01:00:00,10804.402970156087,8401.111346568317,13156.593300187422,10723.369556142963,8280.297455731172,13105.894746608148
2020-08-10 01:00:00,10693.573360601464,7251.6886866585155,13828.089101708707,10612.53994658744,7113.942388943294,13765.469093324844
2020-08-11 01:00:00,10582.743751044287,6170.706085210882,14755.991302955154,10501.710337031918,6100.234631302205,14708.824304504327
2020-08-12 01:00:00,10471.914141489666,4849.419539643076,15793.492929685613,10390.880727476395,4738.92583325416,15682.816335103165
