ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper
2021-11-22,64191.42378118021,60720.583888570414,67947.09504915062,64099.4440320762,64099.4440320762,64099.4440320762
2021-11-23,64364.026759131215,60552.89900803773,67908.52439308047,64310.92567728912,64310.92567728912,64310.92567728912
2021-11-24,64421.338841981924,60668.74702965913,68041.01667315909,64522.407322502026,64522.407322502026,64522.407322502026
2021-11-25,64843.151734507395,61125.137425193716,68699.28506580323,64733.88896771493,64727.390076456795,64749.59346166913
2021-11-26,64804.058436447296,60985.6185151922,68455.64860127305,64945.37061292783,64832.54374120743,65014.28634699169
2021-11-27,65240.51723741396,61397.70905671808,69022.66088212798,65156.852258140745,64912.349854377004,65371.013014794284
2021-11-28,65501.44045943391,61760.95042004007,69554.65340235026,65368.333903353654,64940.84000190197,65766.38779254972
